MPG.city,MPG.highway,Cylinders,EngineSize,Passengers,Weight,Price,Type_Compact,Type_Large,Type_Midsize,Type_Small,Type_Sporty,Type_Van,Origin_USA,Origin_non-USA
42.0,46.0,4,1.5,4.0,2298.0,12.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
31.0,41.0,4,1.6,4.0,2350.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
20.0,28.0,5,2.4,5.0,3245.0,26.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
39.0,43.0,3,1.3,4.0,1965.0,8.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16.0,25.0,8,4.6,5.0,3935.0,40.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
29.0,37.9,4,1.5,5.0,2295.0,10.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17.0,23.0,6,3.0,7.0,4100.0,19.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
17.0,26.0,6,3.8,6.0,3695.0,34.3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
19.0,28.0,6,3.8,6.0,3470.0,20.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,24.0,6,3.0,5.0,3730.0,26.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
29.0,33.0,4,1.5,5.0,2345.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
23.0,30.0,4,1.8,5.0,2530.0,10.1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
16.0,25.0,6,5.7,6.0,4105.0,23.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,20.0,6,3.0,7.0,3735.0,19.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
17.0,21.0,6,3.0,7.0,3705.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
26.0,34.0,4,1.5,4.0,2285.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17.0,25.0,8,5.7,2.0,3380.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22.2,29.0,4,1.8,5.0,2620.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18.0,26.0,8,4.6,6.0,3950.0,20.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
29.0,37.0,4,1.6,4.0,2325.0,8.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19.0,25.0,6,3.2,5.0,3525.0,61.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
22.0,29.0,4,2.2,5.0,3030.0,18.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20.0,28.0,6,3.5,6.0,3490.0,19.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,30.0,4,3.5,4.0,3640.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
18.4,24.0,6,3.0,4.0,3805.0,25.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
19.0,28.0,6,3.8,6.0,3495.0,24.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23.7,31.0,4,2.0,5.0,2958.0,11.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23.0,30.0,4,2.2,5.0,3085.0,19.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22.0,27.0,4,2.5,6.0,2970.0,13.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,23.0,6,3.8,7.0,3715.0,19.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
17.0,26.0,8,5.0,6.0,3910.0,18.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,31.0,4,2.2,4.0,3040.0,17.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25.0,30.0,4,1.8,5.0,2490.0,10.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
26.0,34.0,4,2.5,5.0,2970.0,16.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25.0,36.0,4,2.2,5.0,2490.0,13.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23.0,30.0,4,2.0,4.0,2710.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
23.0,28.0,4,3.0,6.0,3085.0,15.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,23.0,6,3.8,7.0,3715.0,16.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
20.0,27.0,4,2.0,5.0,2885.0,13.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
22.9,30.0,4,1.8,4.0,2640.0,14.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
29.1,38.0,4,1.9,5.0,2495.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
19.0,27.0,6,3.8,5.0,3495.0,26.3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
17.0,22.0,8,4.5,5.0,4000.0,47.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,36.0,4,1.6,4.0,2475.0,12.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
19.0,28.0,6,2.7,4.0,3240.0,17.7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
21.0,30.0,4,2.0,5.0,2985.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21.0,28.0,4,2.3,5.0,2985.0,22.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28.0,36.0,4,1.8,5.0,2440.0,11.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
